name,# tweets retweeted,last tweet retweeted
@JoshMeadows3,146,"RT @JoshMeadows3: p 1 @guardian (UK). 'These are the most polluting coal, oil &amp; gas companies in the world. Are you helping fund them?' htt"
@kellyoshanassy,60,RT @kellyoshanassy: Wonderful outcome for Australian culture and conservation https://t.co/GpGOco5zxK
@VictoriaMcKMcH,35,RT @VictoriaMcKMcH: With @jess_abrahams &amp;  @AusConservation crew at the #peoplesclimate march. Tens of thousands in #Melbourne http://t.co/
@JonathanLaNauze,33,RT @JonathanLaNauze: Yes I approved Carmichael mine but I did site visit first and found it to be in remote barren landscape says @GregHunt
@andrew_picone,29,RT @andrew_picone: Wuthathi country-Shelburne Bay #CapeYork. At @AusConservation we're hoping for a 2015 handback http://t.co/Rgyx667lUv ht
@Wilderness_Aus,29,"RT @Wilderness_Aus: Welcoming Ruth Langford. And she gets screams from the crowd. ""It is passionate which drives protection of our forest"" "
@bashastasak,20,RT @bashastasak: Wollongong Coal CEO &amp; COO resign not a good sign as company tries to expand #coal mine in #Sydney drinking water catchment
@jamescnorman,19,"RT @jamescnorman: Win for conservationists and traditional land owners Seeney ""will listen"" re CapeYork @andrew_picone @AusConservation htt"
@p_hannam,18,"RT @p_hannam: Timely reminder of what's behind power price rises - and it's not 'green schemes', from @jessradio: http://t.co/WdPJpHeTCB #c"
@ClimateRealityA,17,RT @ClimateRealityA: This video tells the story of @TindoSolar #CinAU https://t.co/AQQ4oS5bhU
@olliemilman,17,"RT @olliemilman: Visited area of proposed nat park yesterday, climbing to the edge of a 27km wide volcano that imploded 375m yrs ago http:/"
@climatecouncil,16,"RT @climatecouncil: We knew by the early 1990s that global warming was coming, yet we have done essentially nothing to head off the risk ht"
@GoodsellKarl,15,"RT @GoodsellKarl: Tony Zappa MP ""you've operated for over 50 years and never been prosecuted"" to AMCS
#REO #HoR #DefendEnviroOrgs @Goodsell"
@FoEAustralia,15,RT @FoEAustralia: Worth a read as we listen to the Minerals Council lobbying against Env Grps in the HoR hearings #DefendEnviroOrgs https:/
@KetanJ0,14,RT @KetanJ0: Weakening the RET would work solely to transfer $10 billion to the big three power companies: http://t.co/Kv8KaPRHfv by @p_han
@earthkath,11,RT @earthkath: This is about the importance of international conventions &amp; commitments to protect people &amp; the environment: @david_manne #m
@bencubby,10,RT @bencubby: Who are the real winners and losers if the carbon price is repealed? @p_hannam reports. http://t.co/ZZAo7z7kpt #climate #ausp
@Moreorlessie,10,RT @rainbowandarrow: True action on #climatechange is #onmyagenda because a moon colony is a terrible idea #enjoytheG20 http://t.co/Cn7N0ot
@DrRimmer,10,RT @DrRimmer: We need to put a price on climate denial in our politics: @AlGore @ausconservation http://t.co/LBb4bLZSfC http://t.co/QbckCzy
@ClimateReality,9,"RT @ClimateReality: Right now, 525 leaders from 32 countries are at #CRinAU. @ClimateRealityA to kick things off. http://t.co/7HFmOxGjCS"
@fakeedbutler,8,RT @fakeedbutler: Look guys wind is very scary http://t.co/sN4wXLPJ7j
@GuardianAus,8,"RT @GuardianAus: World's energy systems vulnerable to climate impacts, report warns http://t.co/MccApCXjsC"
@jivebong,7,RT @jivebong: So many reasons to love #nature. Responses from the audience tonight. #ACFCountMeIn http://t.co/xaVU7MHYJB
@smh,7,"RT @smh: This season has seen Sydney's hottest May, and autumn, on record http://t.co/AXucZZQT9b"
@evcricket,7,RT @evcricket: Where do you reckon this trend is going http://t.co/GT2OE0VPbi Price declines will just stop? Nope. #Solar
@lenoretaylor,7,RT @lenoretaylor: Tony Abbott's push to ditch renewables could hand coal and gas industry $10bn http://t.co/PTJhXAPnmc via @guardian
@IndigenousX,6,RT @IndigenousX: We have been traveling to different city and towns speaking up for our rights to protect our land. Muckaty now we're in co
@BernardKeane,6,"RT @BernardKeane: This harping about intergenerational debt by Abbott is nauseating, coming from the man who destroyed an effective, cheap "
@TheRealEwbank,6,"RT @TheRealEwbank: The Abbott govt's attacks on NGOs like @FoEAustralia, @EnviroVic, @AusConservation is out of touch with the community. #"
@Cam_Walker,6,RT @Cam_Walker: You have to love the Backburner: 'Environmental Activists Accused Of Forcing Mining Companies To Obey The Law' http://t.co/
@climate_girl,6,RT @climate_girl: What a stat: 98 million tonnes of atmospheric pollution emitted into our atmosphere every single day. Did you hear me? EV
@wbclimatechange,6,RT @wbclimatechange: The world's 2 biggest emitters are now home to carbon pricing instruments http://t.co/tZmGcc7LjG #climate http://t.co/
@PaulSinclair01,6,"RT @PaulSinclair01: iucn prez ""we support protected areas because they support us"" #WPC2014 @AusConservation"
@beneltham,6,"RT @beneltham: Yet another study finds that Direct Action simply won't work, at least without huge government spending http://t.co/7fP6mMGp"
@ABCenvironment,6,"RT @ABCenvironment: Short-term pain, long-term gain if renewable #energy target is retained, says study http://t.co/ZMD2Y754lm"
@emmalherd,5,RT @emmalherd: Good overview of Budget &amp; Direct Action http://t.co/XmfrEgrEAm via @BusinessSpec
@_LisaMCox,5,"RT @_LisaMCox: Tony Abbott: ""We certainly aren't forecasting the demise of coal. Our policy doesn't depend upon the demise of coal."""
@Jess_Abrahams,5,RT @Jess_Abrahams: High security for endangered species backed by connectivity science in the Great Eastern Ranges @AusConservation http://
@Yes2Renewables,5,RT @Yes2Renewables: Yes2Renewables join forces w/ the ACF (@ausconservation) to make the case for a Vic Renewable Energy Target http://t.co
@takvera,5,RT @takvera: We need to harness the power of community and grow it to unite people around nature &amp; safe climate #ACFCountMeIn
@QuitCoalOz,5,RT @QuitCoalOz: Thanks to all you lovelies for an inspiring day yesterday #GasfieldFreeVic - now we need you to #DefendEnviroOrgs http://t.
@AYCC,5,RT @AYCC: Kiribati youth are calling for climate justice and #Dutton's resignation in Bris.  #ourstruggleisreal #boomgate http://t.co/h0zCn
@AusGreenie,4,"RT @AusGreenie: Thank you for not being silent, says @kellyoshanassy, ACF's new CEO to 500 keen climate leaders #CRinAU @AusConservation @C"
@RNBreakfast,4,RT @RNBreakfast: Should Aust have a  Federal Environmental Protection Agency like in the US / Europe? ROB FOWLER  senior environmental lawy
@vbarmby,4,RT @vbarmby: Thanks @ClimateReality @ClimateRealityA @AusConservation @algore for the last 3 days.I'm now a climate reality leader &amp; ready 
@kirsty_costa,4,RT @kirsty_costa: The beauty &amp; devastation of where the @GreatForestNP should be. Tour with @WildernessVIC @AusConservation #GFNP http://t.
@AusWindAll,4,"RT @VicWindAll: Well, here's a surprising supporter of #wind energy. @GeorgetheBull1 http://t.co/4enMfGgMa2 http://t.co/kwIggF8H4t"
@james_trezise,4,RT @james_trezise: Who is the most radical TMNT? Donatello? Raphael? Michaelangelo? Leonardo? #TMNT #biggreenradicals
@markwakeham,4,RT @markwakeham: Very proud to be appointed Environment Victoria CEO today and to tackling &amp; progressing the big issues of our time: http:/
@jconnoroz,4,RT @jconnoroz: RIP Phillip Toyne -  unafraid to work at the radical centre. Respect. Thoughts for Molly and Family https://t.co/qTEwwRSgbC
@pocockdavid,4,RT @pocockdavid: UN says climate change poses at least as big a threat to the world as war. Why increase defence budget and not renewables 
@Karen4Action,4,RT @Karen4Action: Hmm well it's certainly going to be an interesting week ahead. @MichaelGToman @AusConservation
@cathymalexander,4,"RT @cathymalexander: Senate is about to vote down carbon price, while US does this RT @climatenews: White House Announces Climate Change In"
@DavidParis,4,RT @DavidParis: This is WONDERFUL RT @dearindira: Turn back climate change not the boats  http://t.co/hgsX2wHdyP
@KenMcAlpine,3,RT @KenMcAlpine: So @AusConservation have been lucky enough to recruit @tristanknowles. Here's his debut article for @renew_economy: http:/
@QandA,3,RT @QandA: Tonight #QandA w/ @KillerMartinis @steveciobo @fitzhunter @deemadigan @GrahameMorris2 Antony Hegarty 9.35pm AEST http://t.co/z2A
@GreenMovesAust,3,RT @GreenMovesAust: What r we leaving for ourselves &amp; our children G20 leaders. Put climate on the G20 agenda #onmyagenda #climatereality h
@Hootville,3,"RT @Hootville: We are here. ""@AusConservation: In Melbourne, the #PeoplesClimate crowd is actually rather large."" http://t.co/q4gw4epg4p"
@Warwick_Long,3,"RT @Warwick_Long: Basin Plan will be delivered, 'in full and on time,' says @bobbaldwinmp at @MurrayDarlingAs conference"
@amworldtodaypm,3,RT @amworldtodaypm: Pundits anticipate awkward clash of climate change views when Abbott and Obama discuss the G20 agenda http://t.co/1sBeS
@ali_m_martin,3,RT @alison_m_martin: UK rejects Australia and Canada's invitation to join alliance to counter Obama http://t.co/MgDbDEUIvz via @MailOnline 
@adamlmorton,3,RT @adamlmorton: What is Australia's climate policy? http://t.co/udFW6OR3ep #qt
@abcnews,3,"RT @abcnews: Friends of the Earth donation gets ATO clearance, group keeps deductibility status http://t.co/upSwpfWCmm http://t.co/qoZD7EHS"
@StefArmbruster,3,RT @StefArmbruster: Locked gate to dormant Ben Lomond uranium mine. Report on @NaotoKan anti-nuclear visit @SBSNews at 6:30pm #qldpol http:
@DanJCass,3,"RT @DanJCass: Cutting #renewables target will threaten 7-11,000 future clean energy jobs every year up to 2020 says @BloombergNEF http://t."
@TSCommissioner,3,RT @TSCommissioner: Thx @AusConservation @Wilderness_Aus @BirdlifeOz @BushHeritageAus @nature_brains &amp; VNPA for #ThreatenedSpecies policy d
@EnviroVic,3,RT @EnviroVic: Those hippies at the IMF say there should be a 60% tax on #coal to reflect the real #costofcoal http://t.co/cWerXsZQAZ #clim
@GhostWhoVotes,3,RT @GhostWhoVotes: #ReachTEL Poll Should there be some form of price on carbon: Yes 65.3 No 16.7 #auspol
@MarkDiStef,3,RT @MarkDiStef: The restart plan for ERA involves digging deeper at the uranium mine. Traditional Owners are not on board with the plan.
@youngamelia,3,"RT @youngamelia: Eminent photographer Rob Blakers says #myworldheritage is ""beautiful diverse extraordinary complex &amp; worth preserving."""
@guardianeco,3,RT @guardianeco: Still no modelling to show whether Direct Action will meet emissions target http://t.co/W2Nqbrsb2B
@paddygibson,3,RT @paddygibson: Dave Sweeny from @AusConservation: fight back over 25yrs has stopped all attempts to set up remote nuclear dump #ANFA http
@BarackObama,3,RT @BarackObama: A win for public health: The first-ever national limits on carbon pollution from existing power plants. http://t.co/oHUP8Q
@350Australia,3,RT @350Australia: Time to slash fuel subsidies to mining cos - including  @bhpbilliton &amp; @RioTinto! @AusConservation #climate #coal http://
@enviroed4all,3,"RT @enviroed4all: @AusConservation new Family Farm snapshot- Pride, beauty in cereal-sheep fmly farm, Sth Aust,  http://t.co/eCzr7FYnJ6 htt"
@3Wchirps,3,RT @3Wchirps: NEW: LTE: @AusConservation's #climatechange manager questions Fed's latest #green paper http://t.co/Fe7iIx1N2W #ausgov
@larissawaters,3,"RT @larissawaters: Vale Phillip Toyne. The planet has lost a great champion, but he leaves a great environmental legacy. Deep sympathies to"
@political_alert,3,"RT @political_alert: Opposition Leader Bill Shorten will address the McKell institute in Sydney today in his major pre-Budget speech, 12.15"
@renew_economy,3,"RT @renew_economy: Greg Hunt claims #carbon pricing should go because it is ineffective, but data shows otherwise http://t.co/GzXqXAkYhi #a"
@tabful,3,RT @tabful: Senate has adjourned debate for the night &amp; best part is ABBOTT DIDN'T REPEAL THE CARBON PRICE ON THE FIRST DAY OF THE NEW SENA
@sophblack,3,"RT @sophblack: To my 2 yo, in 20 years time: here's a list of every Senator who voted to repeal the carbon tax.  http://t.co/OxV1hYzxtz (vi"
@Mark_Butler_MP,2,RT @Mark_Butler_MP: Labor won't support weakening environmental protections or limiting a community's right to challenge Government decisio
@MD_Basin_Auth,2,"RT @MD_Basin_Auth: Thanks to @AusConservation, @rene_woods &amp; MLDRIN, @NationalFarmers, @Nat_Irrigators, and @nswirrigators for our sit down"
@readfearn,2,RT @readfearn: World's top PR companies rule out working with #climate science deniers http://t.co/uE2htEasXD
@clydotweet,2,RT @clydotweet: Some CSG canned in SYD catchment http://t.co/u9CTHVnZXg but same Special Areas http://t.co/BbLYosN2My still threatened by c
@rcwalsh,2,RT @rcwalsh: Hey @taylorswift13 your namesake the beautiful Swift Parrot is under serious threat. Can you help? #tweetforbirdlife http://t.
@MeddlesomPriest,2,RT @MeddlesomPriest: Countries set to miss Paris deadline for pledges on climate change http://t.co/FDEi8Ey5El
@NASA,2,"RT @NASA: t's official, 2014 was the hottest year on record. Get the facts: http://t.co/dW8NS0vhV7 #EarthRightNow @NOAA http://t.co/WgAhhPI"
@NukeDaveSweeney,2,RT @NukeDaveSweeney: Nuclear insecurity and shrinking political tolerance should mean a red light to Russian yellowcake sales.... http://t.
@OxfamAustralia,2,RT @OxfamAustralia: Who Voted To Repeal The Carbon Price? http://t.co/7zyXh9TZq9 (via @AusConservation)
@Lateline,2,"RT @Lateline: This Windy Hill outside #Ravenshoe, #QLD. Tonight #lateline debate's wind farms w @kellyoshanassy &amp; @DavidLeyonhjelm http://t"
@rennemiles,2,"RT @rennemiles: well, we're getting there on the bees: First Dog on the Moon on ... climate change and the coal industry - cartoon http://t"
@LandWaterFuture,2,RT @LandWaterFuture: New report raises concerns Wollongong Coal cannot be trusted to mine in our water catchment. http://t.co/dGyYaxXU9t ht
@newmatilda,2,RT @newmatilda: This little guy is hoping @GregHuntMP reconsiders his approval of the Adani coal mine | https://t.co/4JAyxvBOpE http://t.co
@rharris334,2,"RT @rharris334: The Coalition has broken its election promise to maintain full funding for Landcare."" says @AusConservation"
@KateOKate,2,RT @KateOKate: Stunning! The beautiful north by ACF https://t.co/RjiqrwR6DF via @Ausconservation
@solarcitizens,2,"RT @solarcitizens: Reports that Warburton review found #ret ""did not add significantly"" to power bills - but PM still wants it gone: http:/"
@stukhan,2,RT @stukhan: The @AusConservation Foundation joins chorus calling for the National Water Commission to be continued. http://t.co/uuT4eyzrps
@Jo_Tovey,2,"RT @Jo_Tovey: Fall in greenhouse gas emissions biggest in 24 years, aided by carbon tax http://t.co/SyqaQPOTmC via @smh"
@tanelsonaus,2,RT @tanelsonaus: Letter to the ed worth reading in today's AFR by @AusConservation Tristan Knowles #RenewableEnergy
@thewireradio,2,RT @thewireradio: Tasmanian wilderness under threat yet again #Tasmania #WorldHeritage @BobBrownFndn @TheWildernessSy @AusConservation http
@HelgaSvendsen,2,"RT @HelgaSvendsen: #Progress2015 #innovativeinstiutions @kellyoshanassy - need lots of people, and active people. That's our change model. "
@willozap,2,RT @willozap: The *only* reason for Australia to go renewable is so were not left behind economically. The world will decarbonise without 
@Peer_Academy,2,RT @Peer_Academy: Thank you @earthkath and @AusConservation for hosting an amazing session this morning! #peerpowered http://t.co/CUJqkkJv3Q
@ReclaimAnglesea,2,RT @ReclaimAnglesea: In an era when our precious #environment is under attack like never before I'm proud to be a #FriendofFoE. @abc730 htt
@murrygriffn,2,RT @murrygriffn: one week on from the govts target announcement - and still no sign of economic modelling or the submissions made to @dpmc
@mumdaze,2,RT @mumdaze: Sydney is a rare city to mine its water catchments. ping @AusConservation @TWSNSW @SydneyWaterNews @LockTheGate https://t.co/j
@billmckibben,2,"RT @billmckibben: Six low-lying island nations join in call for moratorium on new coal mines. Because, survival http://t.co/j5DpIjUOMm"
@davpope,2,RT @davpope: http://t.co/1qPHcKzqbo
@eleanorbloom,2,RT @eleanorbloom: 'Indias new PM has vowed to ensure that every home in the country will have solar by 2019 #climate http://t.co/69hLobM4
@fibrotones,2,"RT @fibrotones: US politicians to vote on whether climate change is actually a thing. Carry on, as you were http://t.co/7cJCgBETaS"
@firstdogonmoon,2,"RT @firstdogonmoon: ICYMI here is a cartoon about solar kicking coal's butt nyah nyah nyah. Includes ""History will revile you"" dance. http:"
@gardelou,2,RT @gardelou: The environment we have in Tasmania is the result of decades of campaigning by environmental groups says @cybersomatic #Defen
@algore,2,"RT @algore: One day after EPA action, China announces it will cap carbon pollution in 2016. We can &amp; will solve this crisis: http://t.co/su"
@hearyanow,2,"RT @hearyanow: New data shows #coal mining pollution has doubled in a decade. 
http://t.co/zyqR6sAQSt via @LockTheGate"
@_spock,2,"RT @_spock: Why its a really, really bad idea to dump dredging spoils on the Great Barrier Reef. (Should really be self evident) http://t."
@isobelmarasigan,2,RT @isobelmarasigan: leaving for Melbourne soon to attend @ClimateRealityA training with @algore and an incredible group of game changers! 
@jessradio,2,RT @jessradio: The rise in electricity prices has little to do with the carbon tax: http://t.co/UQk78Z3Lb2
@julesallover,2,"RT @julesallover: Black-throated finch. Endangered species to us, ""technical hitch"" to #coal. And why Carmichael approval was wrong. http:/"
@Writeobsessed,2,RT @Writeobsessed: We have climate change on our agenda #onmyagenda @AusConservation #G20 http://t.co/OIDlJy5Zqx
@kirsten_blair,2,"RT @kirsten_blair: Shirts off, stand off or #shirtfront? I'd rather see action on #climatechange at #G20. Its #onmyagenda"
@WWF_Australia,2,RT @WWF_Australia: BREAKING: #WHC made the right &amp; responsible decision to maintain pressure on Aus Gov. RT if you stand with the Reef! htt
@lightfootsj,2,"RT @lightfootsj: Too right: ACF's new president Geoff Cousins ""without a healthy environment we've got nothing"" @JoshMeadows3 @AusConservat"
@TrendsAustralia,2,"RT @TrendsAustralia: ACF, @ausconservation is now trending in Australia http://t.co/giFpgT62Zv"
@TonyHWindsor,2,RT @TonyHWindsor: Australia has lost a visionary in Phillip Toyne -my thoughts are with his family .He cared for those who cared for the la
@TimStephens10,2,RT @TimStephens10: @AusConservation And the Top End also on track to be too hot for most crops and livestock by 2090.
@linessue,2,RT @linessue: Seems Aussie voters like 'vigilante' environmentalists  @AusConservation poll shows most oppose govt attempts to water down l
@TanyiaMaxted,2,RT @TanyiaMaxted: In Canberra advocating for urgent #climate action representing #Perth #WA http://t.co/5P25q1ZVxm #auspol #ClimateChange @
@lmdo,2,RT @lmdo: I wrote an oped for @AJEnglish on the worth of World Heritage and Australia's Tasmanian forests. Doha next week! http://t.co/Fb0m
@lucybarbour,2,"RT @lucybarbour: SA Lib MP @tonypasin has told @abcrural he's ""nervous"" that Nationals will be in charge of delivering #basinplan. (1/2) @a"
@market_forces,2,RT @market_forces: Thanks to those @AusConservation delegates who stood up for the clean energy finance corp this week http://t.co/MSA2tB03
@SenatorLudlam,2,RT @SenatorLudlam: proud to welcome former Japanese PM Naoto Kan to speak to Australian MPs about Fukushima http://t.co/ImFvc7dEM8
@SatPaper,2,"RT @SatPaper: The uncertainty Tony Abbott has created about renewables is killing the green energy sector, writes @Sophie_D_Morris http://t"
@carolinelec,2,RT @carolinelec: Count me in to protect nature in #Canberra with @kellyoshanassy #ACF @AusConservation http://t.co/WL6Pan4YZ3 Friday evening
@Ha_Tanya,2,RT @Ha_Tanya: Scary: possibility that giant Siberian crater may be due to methane release from permafrost thaw http://t.co/g3oa2zfMb1 #clim
@1millionwomen,2,RT @1millionwomen: We're here at the #IQ2OZ ready to hear about putting a price on nature... Or not! What do you think? @ethics_centre http
@Tony_Mohr,2,RT @Tony_Mohr: Strong turnout to #DefendEnviroOrgs from the witch hunt @FoEAustralia @AusConservation http://t.co/c2rDe1ZnoM
@EJ_Aus,2,RT @EJ_Aus: Victoria needs a Climate Charter. Join @FoEAustralia @EnviroVic &amp; @AusConservation to support our proposal http://t.co/qeRDyyO8
@AdamSharah,2,RT @AdamSharah: Tell Minister Hunt: Dont let Cameco recklessly endanger Pilbara's Karlamilyi   http://t.co/j8igvkkUBA @AusConservation @Fo
@BobBrownFndn,2,"RT @BobBrownFndn: Jill Redwood, 2015 Environmentalist of the Year, an outstanding advocate for Australia's forests, crucially East Gippslan"
@DearMsIndigo,2,"RT @DearMsIndigo: Just gathered to show that #climateaction is #onmyagenda!A few in tiny Tilba.Real people care,Tony,even in little places."
@CounterActOz,2,RT @CounterActOz: Off to #DefendEnviroOrgs inquiry. CounterAct started after I got inspired by working with Broome community to save: http:
@ABCthedrum,2,RT @ABCthedrum: Who would benefit from axing the Renewable Energy Target? Put it this way: not you | @OfKember http://t.co/sZDEvxUsLd
@DeborahNesbitt,2,RT @DeborahNesbitt: Oh too sad. I worked with Flic at ACF. Vale Felicity Wishart  Aust loses a true hero for the environment who passed aw
@EconOConnor,2,"RT @EconOConnor: Norwegian Pension Fund, Axa - minority groups against coal? https://t.co/CJVeo57YIP"
@ChristineMilne,2,RT @senatormilne: Congratulations to traditional owners and all campaigners who have worked for years to stop #Muckaty. #auspol
@ConservationACT,2,RT @ConservationACT: New @AusConservation president Geoff Cousins on @666canberra now
@ConservationWA,2,RT @ConservationWA: TONIGHT #QandA Martu artists &amp; Antony Hegarty speak out on uranium #StopKintyre. Support them http://t.co/hpDTmJFKSN ht
@GreatForestNP,2,"RT @GreatForestNP: ""I approve this plan to advance the cause of possumness &amp; make Australia even more possumy.""  @firstdogonmoon #GFNP htt"
@GreenpeaceAustP,2,RT @GreenpeaceAustP: Its World Turtle Day! RT if you love turtles too http://t.co/Tf6s87Z09U http://t.co/OyQukR0sIo
@CleanEconomySer,2,"RT @CleanEconomySer: If you have #solar, want solar, love solar, help #savesolar &amp; come to Melbourne's Save Solar Forum Thursday night http"
@lucinda_windsky,1,RT @lucinda_windsky: Depressed about #climate? These 8 people will change that. http://t.co/cmz8tYYyFM @AusConservation #auspol
@kels_316,1,RT @kels_316: Hey @AndrewLamingMP could you explain why owning a car means someone isnt serious about reducing carbon pollution? Im genui
@BirdlifeOz,1,RT @BirdlifeOz: .@AusConservation @BirdlifeOz @EJ_Aus release joint report on #EndangeredSpecies recovery plan http://t.co/vXDQAJK8IV http:
@AustralNature,1,"RT @AustralNature: @AusConservation as a @NAB account holder I fully agree with ACF, please divest from businesses that destroy our childre"
@kateausburn,1,"RT @kateausburn: APPEA on protests/opposition to the gas industry: ""This is a problem to an extent we had never anticipated...it's frustrat"
@kaaze7,1,RT @kaaze7: @olliemilman @AusConservation the razorback! one of the best trails and climbs there!! #GFNP
@Atyidean,1,RT @Atyidean: @AusConservation @GregHuntMP I can't follow Mr Hunt's philosophy1 minute save a species next minute destroy some other envir
@junkeedotcom,1,RT @junkeedotcom: The @AusConservation is Tweeting out the names of every Senator to voted to repeal the #carbontax #auspol | http://t.co/2
@markwillacy,1,RT @markwillacy: New Qld gov orders investigation into huge land clearing approval on Cape York in dying days of Newman government http://t
@maryclarew_act,1,"RT @maryclarew_act: Hesta, Australia's biggest health super fund, has ruled out further investments in coal #endofcoal"
@jrussell_world,1,RT @jrussell_world: Action on climate change is on our agenda #onmyagenda @ClimateReality @AusConservation @G20Australia http://t.co/ZH9pRE
@jrojourno,1,RT @jrojourno: Devastated 2 hear abt passing of conservation campaigner Felicity Wishart. 1 of the real people I got to speak to in this jo
@jonstanger,1,"RT @jonstanger: Very proud @bendigobank customer! Thank you for divesting from coal and CSG! Happy to keep my accounts with you now, for me"
@jonkudelka,1,RT @jonkudelka: Looking forward to carbon tax axing to usher in Australia's new golden age.
@joeyrclarke,1,"RT @joeyrclarke: Blue Mountains Australia for climate action!
#climate #PeoplesClimate #PeoplesClimateMarch @billmckibben @GetUp @aycc http"
@Boomer_29,1,RT @Boomer_29: Had a great day with @wildlife_vic today. You guys do an amazing job http://t.co/JseMvHWgQ8
@jgough87,1,RT @jgough87: Graph showing how Sydney's endless summer deviates from long term average http://t.co/YBp5hJCin5 via @smh http://t.co/DlzVAbX
@Brendo_Ed,1,"RT @Brendo_Ed: ELIZABETH KOLBERT: THE SIXTH EXTINCTION, Deakin Edge 5:30pm today @ElizKolbert @MelbWritersFest @BloomsburySyd #mwf14 #TheSi"
@mariekilla,1,RT @mariekilla: Stand with the Pacific Climate Warriors and take the fight to save their homes directly to the fossil fuel industry! http:/
@BenOquist,1,RT @BenOquist: And State govts put $17.6B into mining subsides @TheAusInstitute http://t.co/YfrtQkuJ7Q. $$ should go to health &amp; ed https:/
@kiriljoyce,1,RT @kiriljoyce: Awesome work @AYCC! #yourchoiceourfuture  #auspol http://t.co/8kelvKc60p
@louisevmorris,1,RT @louisevmorris: @kellyoshanassy @AusConservation strong forthright interview on #carbonprice on @ABCNews24
